EmployeeID,Name,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
1,Hafsah Lister,41,Yes,Travel_Rarely,363.7795276,Sales,1,2,Life Sciences,1,1,2,Female,44.42393123,3,2,Sales Executive,4,Single,5993,7700,8,Y,Yes,11,3,1,160,0,8,0,1,6,4,1,5
2,Jonathan Findlay,49,No,Travel_Frequently,256.6672441,Research & Development,8,1,Life Sciences,1,2,3,Male,31.34362199,2,2,Research Scientist,2,Married,5130,5432.79,1,Y,No,23,4,4,160,1,10,3,3,10,7,0,7
3,Onur Stafford,37,Yes,Travel_Rarely,214.151811,Research & Development,2,2,Other,1,4,4,Male,26.15173369,2,1,Laboratory Technician,3,Single,2090,4532.88,6,Y,Yes,15,3,2,160,0,7,3,3,0,0,3,0
4,Che Larson,33,No,Travel_Frequently,250.3686614,Research & Development,3,4,Life Sciences,1,5,4,Female,30.57445335,3,1,Research Scientist,3,Married,2909,5299.47,1,Y,Yes,11,3,3,160,0,8,3,3,8,7,2,0
5,Kaiya Keeling,27,No,Travel_Rarely,226.7489764,Research & Development,2,1,Medical,1,7,1,Male,27.69007096,3,1,Laboratory Technician,2,Married,3468,4799.52,9,Y,No,12,3,4,160,1,6,3,3,2,2,3,2
6,Jonny Mohamed,32,No,Travel_Frequently,226.7489764,Research & Development,2,2,Life Sciences,1,8,4,Male,27.69007096,3,1,Laboratory Technician,4,Single,3068,4799.52,0,Y,No,13,3,3,160,0,8,2,2,7,7,0,6
7,Maleeha Galloway,59,No,Travel_Rarely,234.6222047,Research & Development,3,3,Medical,1,10,3,Female,28.65153176,4,1,Laboratory Technician,1,Married,2670,4966.17,4,Y,Yes,20,4,1,160,3,12,3,2,1,0,0,0
8,Faizaan Terrell,30,No,Travel_Rarely,185.808189,Research & Development,24,1,Life Sciences,1,11,4,Male,22.69047482,3,1,Laboratory Technician,3,Divorced,2693,3932.94,1,Y,No,22,4,2,160,1,1,2,3,1,0,1,0
9,Nikki Reilly,38,No,Travel_Frequently,457.4541732,Research & Development,23,3,Life Sciences,1,12,4,Male,55.8632666,2,3,Manufacturing Director,3,Single,4230.96,9682.78,0,Y,No,21,4,2,160,0,10,2,3,9,7,7,8
10,Murray Cleveland,36,No,Travel_Rarely,374.5790551,Research & Development,27,3,Medical,1,13,3,Male,45.74274505,3,2,Healthcare Representative,3,Married,5237,7928.59,6,Y,No,13,3,2,160,2,17,3,2,7,7,0,7
11,Hayden Mcintosh,35,No,Travel_Rarely,212.5771654,Research & Development,16,3,Medical,1,14,1,Male,25.95944153,4,1,Laboratory Technician,2,Married,2426,4499.55,0,Y,No,13,3,3,160,1,6,5,3,5,4,0,3
12,Nahla Anthony,29,No,Travel_Rarely,239.3461417,Research & Development,15,2,Life Sciences,1,15,4,Female,29.22840824,2,2,Laboratory Technician,3,Single,4193,5066.16,0,Y,Yes,12,3,4,160,0,10,3,3,9,5,4,8
13,Bear Weaver,31,No,Travel_Rarely,198.4053543,Research & Development,26,1,Life Sciences,1,16,1,Male,24.22881209,3,1,Research Scientist,3,Divorced,2911,4199.58,1,Y,No,17,3,4,160,1,5,1,2,5,2,1,3
14,Kory Haley,34,No,Travel_Rarely,196.8307087,Research & Development,19,2,Medical,1,18,2,Male,24.03651993,3,1,Laboratory Technician,4,Divorced,2661,4166.25,0,Y,No,11,3,3,160,1,3,2,3,2,2,0,2
